                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.79705,                0.59721,                  1.784,                0.86656,                0.83884,                 0.8818,                0.73759,                 1.4339,                 1.0393,                 1.7037,             0.00055849,             0.00055849,             0.00055849
                     57,                0.79656,                0.57981,                 1.7891,                0.87425,                0.73357,                 0.8235,                0.67325,                 1.6179,                 1.4161,                 1.7584,             0.00055566,             0.00055566,             0.00055566
                     58,                0.78734,                0.60346,                 1.7963,                0.84378,                0.85002,                0.87559,                0.71839,                  1.501,                 1.2168,                 1.7277,             0.00055284,             0.00055284,             0.00055284
                     59,                0.77838,                0.59892,                 1.7861,                0.82282,                0.86385,                0.88328,                0.73122,                 1.5101,                 1.0918,                 1.7485,             0.00055001,             0.00055001,             0.00055001
                     60,                0.74733,                0.55274,                 1.7679,                0.85364,                0.80331,                0.85351,                 0.7088,                 1.4812,                 1.0943,                 1.7115,             0.00054718,             0.00054718,             0.00054718
                     61,                0.73041,                0.54182,                 1.7636,                0.90362,                0.75724,                0.85638,                  0.695,                 1.7211,                 1.4641,                 1.7805,             0.00054435,             0.00054435,             0.00054435
                     62,                0.72954,                 0.5636,                 1.7542,                0.87804,                0.83378,                0.87967,                 0.7298,                 1.4997,                 1.2571,                 1.7218,             0.00054153,             0.00054153,             0.00054153
                     63,                0.73501,                0.58421,                 1.7611,                 0.8825,                0.83491,                0.88106,                0.72082,                 1.5434,                 1.1471,                 1.7324,              0.0005387,              0.0005387,              0.0005387
                     64,                0.79375,                0.59975,                 1.8007,                0.84911,                0.85106,                 0.8744,                0.72426,                 1.4875,                 1.0963,                 1.7277,             0.00053587,             0.00053587,             0.00053587
                     65,                0.72224,                0.53813,                 1.7685,                0.86372,                 0.8291,                0.87229,                0.70513,                 1.5752,                 1.1739,                 1.7434,             0.00053304,             0.00053304,             0.00053304
                     66,                0.74905,                  0.555,                 1.7612,                0.82938,                0.83503,                0.86618,                0.72424,                 1.4454,                 1.0705,                 1.7166,             0.00053022,             0.00053022,             0.00053022
                     67,                0.74164,                0.53455,                  1.755,                0.90577,                0.82484,                0.88605,                0.72948,                 1.4768,                 1.1182,                 1.7289,             0.00052739,             0.00052739,             0.00052739
                     68,                0.72348,                0.57963,                 1.7604,                0.82378,                0.83022,                0.86454,                0.71781,                  1.487,                 1.1123,                 1.7062,             0.00052456,             0.00052456,             0.00052456
                     69,                0.76516,                0.60107,                 1.7638,                0.89686,                0.80784,                0.86097,                0.70731,                 1.5362,                   1.12,                 1.7283,             0.00052173,             0.00052173,             0.00052173
                     70,                0.73298,                0.56363,                 1.7592,                0.82908,                0.82753,                0.85557,                0.71277,                 1.4592,                 1.1995,                 1.7212,             0.00051891,             0.00051891,             0.00051891
                     71,                0.72922,                0.54384,                 1.7572,                0.85137,                0.83731,                0.87377,                0.72568,                 1.4943,                 1.0726,                 1.7166,             0.00051608,             0.00051608,             0.00051608
                     72,                0.71639,                0.53812,                 1.7493,                0.86498,                0.85987,                0.88739,                0.74005,                 1.4528,                 1.0802,                 1.6972,             0.00051325,             0.00051325,             0.00051325
                     73,                0.72418,                0.53605,                 1.7756,                0.87095,                0.82917,                0.87788,                0.73794,                 1.4385,                 1.1642,                 1.7107,             0.00051042,             0.00051042,             0.00051042
                     74,                0.69961,                0.52649,                 1.7564,                0.86665,                0.88856,                0.90405,                0.74849,                 1.4747,                  1.059,                 1.7149,              0.0005076,              0.0005076,              0.0005076
                     75,                0.71848,                0.52149,                 1.7534,                0.92044,                0.81228,                0.87617,                0.73916,                 1.4414,                 1.0427,                 1.6956,             0.00050477,             0.00050477,             0.00050477
                     76,                0.70254,                0.51292,                 1.7561,                0.85271,                0.83525,                0.88034,                0.72664,                 1.5124,                 1.1906,                 1.7382,             0.00050194,             0.00050194,             0.00050194
                     77,                0.73465,                0.54639,                 1.7684,                0.83332,                0.78671,                0.83054,                0.69048,                 1.5305,                 1.3254,                 1.7544,             0.00049911,             0.00049911,             0.00049911
                     78,                 0.7203,                0.56681,                 1.7379,                0.87462,                0.84951,                0.88573,                0.74035,                 1.4784,                 1.0994,                 1.7237,             0.00049629,             0.00049629,             0.00049629
                     79,                0.69866,                0.52659,                 1.7529,                0.88948,                0.79977,                0.87461,                0.73807,                 1.4573,                 1.2507,                 1.7088,             0.00049346,             0.00049346,             0.00049346
                     80,                0.72188,                0.51838,                 1.7777,                0.91852,                0.86113,                0.90988,                0.76427,                 1.4432,                 1.0429,                 1.7114,             0.00049063,             0.00049063,             0.00049063
                     81,                0.69215,                0.52608,                 1.7488,                 0.9086,                0.88112,                0.91605,                0.77278,                 1.4125,                 1.0339,                 1.7067,              0.0004878,              0.0004878,              0.0004878
                     82,                0.69841,                0.51937,                 1.7555,                0.87837,                0.78562,                0.86114,                0.70754,                 1.5811,                 1.1361,                 1.7326,             0.00048498,             0.00048498,             0.00048498
                     83,                0.69806,                0.52432,                 1.7426,                0.89267,                0.84166,                0.90159,                0.75437,                 1.4358,                  1.044,                 1.7086,             0.00048215,             0.00048215,             0.00048215
                     84,                0.69159,                0.50789,                 1.7438,                0.84691,                0.84075,                0.87916,                0.72324,                 1.5376,                 1.1399,                 1.7525,             0.00047932,             0.00047932,             0.00047932
                     85,                0.65767,                 0.4806,                 1.7349,                0.92256,                0.84895,                0.90599,                0.76954,                 1.3999,                0.95143,                  1.707,              0.0004765,              0.0004765,              0.0004765
                     86,                0.66154,                0.49467,                 1.7429,                0.87012,                0.85309,                0.89677,                0.74373,                 1.4332,                0.96449,                 1.6977,             0.00047367,             0.00047367,             0.00047367
                     87,                  0.671,                 0.4832,                 1.7445,                 0.8992,                0.82228,                0.89766,                0.73935,                 1.4558,                0.96943,                 1.6964,             0.00047084,             0.00047084,             0.00047084
                     88,                0.68477,                 0.5333,                 1.7433,                0.91007,                0.83895,                0.89603,                0.73427,                 1.4593,                 1.0732,                 1.7025,             0.00046801,             0.00046801,             0.00046801
                     89,                0.68392,                0.50569,                 1.7478,                 0.8701,                0.85294,                0.90648,                0.74357,                 1.4804,                0.99054,                 1.7149,             0.00046519,             0.00046519,             0.00046519
                     90,                 0.7064,                0.49507,                 1.7565,                0.86301,                 0.8372,                0.88643,                0.73497,                 1.5061,                  1.059,                   1.72,             0.00046236,             0.00046236,             0.00046236
                     91,                0.66094,                 0.4951,                 1.7437,                0.92444,                0.72633,                0.84827,                 0.7035,                 1.5884,                 1.3224,                 1.7336,             0.00045953,             0.00045953,             0.00045953
                     92,                  0.689,                0.49977,                 1.7575,                0.89272,                0.84211,                0.89561,                0.75723,                  1.414,                 1.0225,                 1.6957,              0.0004567,              0.0004567,              0.0004567
                     93,                0.67443,                0.48347,                 1.7367,                0.89707,                0.82603,                0.89058,                0.74383,                 1.4564,                 1.0216,                 1.7183,             0.00045388,             0.00045388,             0.00045388
                     94,                0.67017,                0.48317,                 1.7293,                0.88718,                0.88725,                0.92283,                0.77481,                 1.4123,                0.91242,                 1.7293,             0.00045105,             0.00045105,             0.00045105
                     95,                0.65995,                0.48788,                 1.7344,                0.85644,                0.85735,                 0.8943,                0.74983,                 1.4088,                 1.0246,                 1.6988,             0.00044822,             0.00044822,             0.00044822
                     96,                0.65067,                0.48052,                 1.7284,                 0.8826,                0.86504,                0.90668,                0.76254,                 1.3695,                0.96324,                 1.6925,             0.00044539,             0.00044539,             0.00044539
                     97,                0.66298,                0.47049,                 1.7446,                0.92347,                0.83974,                0.91404,                 0.7579,                 1.4576,                0.96239,                 1.7113,             0.00044257,             0.00044257,             0.00044257
                     98,                0.67896,                0.49881,                 1.7491,                0.90914,                0.82926,                0.89369,                0.75151,                 1.4442,                0.99478,                 1.7002,             0.00043974,             0.00043974,             0.00043974
                     99,                0.65229,                 0.4481,                 1.7405,                0.83753,                0.88519,                0.90149,                 0.7626,                 1.3781,                0.98952,                  1.674,             0.00043691,             0.00043691,             0.00043691
                    100,                0.64798,                0.44901,                 1.7303,                 0.8853,                0.88635,                0.91578,                0.77213,                  1.412,                0.88974,                 1.6968,             0.00043408,             0.00043408,             0.00043408
                    101,                0.66516,                0.47217,                 1.7243,                0.86517,                0.88113,                0.90472,                0.75346,                 1.4322,                0.93758,                 1.6924,             0.00043126,             0.00043126,             0.00043126
                    102,                0.65096,                0.47274,                 1.7447,                0.88428,                0.84619,                0.89109,                0.74718,                 1.4359,                 0.9732,                 1.6947,             0.00042843,             0.00042843,             0.00042843
                    103,                0.63745,                 0.4885,                 1.7226,                0.87426,                0.84402,                0.89173,                   0.75,                 1.4246,                0.95912,                 1.7065,              0.0004256,              0.0004256,              0.0004256
                    104,                0.62851,                0.44941,                 1.7242,                0.90064,                0.86606,                0.90718,                0.75268,                 1.4316,                0.92208,                 1.7018,             0.00042277,             0.00042277,             0.00042277
                    105,                0.63671,                0.46362,                 1.7482,                0.89409,                0.87772,                0.91009,                 0.7645,                 1.4262,                 0.9453,                 1.6978,             0.00041995,             0.00041995,             0.00041995
                    106,                0.63369,                0.44402,                 1.7439,                0.86484,                0.88771,                0.91526,                0.75418,                  1.468,                0.98968,                 1.7033,             0.00041712,             0.00041712,             0.00041712
                    107,                0.65222,                 0.4774,                 1.7413,                 0.8795,                0.91446,                0.93162,                0.77617,                 1.4073,                0.98339,                 1.6983,             0.00041429,             0.00041429,             0.00041429
                    108,                0.63285,                0.43437,                 1.7202,                0.89406,                0.85774,                0.90485,                0.75464,                 1.4403,                0.95588,                 1.7016,             0.00041146,             0.00041146,             0.00041146
                    109,                0.65007,                0.45296,                 1.7419,                0.90126,                0.84448,                0.90122,                0.75278,                 1.4902,                  1.057,                 1.6988,             0.00040864,             0.00040864,             0.00040864
                    110,                0.62995,                0.43637,                 1.7394,                 0.9109,                0.87591,                0.91849,                0.77041,                 1.4489,                0.95962,                 1.6901,             0.00040581,             0.00040581,             0.00040581
                    111,                0.63369,                0.44901,                 1.7394,                0.91534,                  0.807,                0.89034,                0.75369,                 1.4173,                 1.0523,                 1.6966,             0.00040298,             0.00040298,             0.00040298
                    112,                0.63783,                0.44638,                 1.7338,                0.88428,                0.85214,                 0.8982,                0.76407,                 1.4171,                 1.0175,                 1.7037,             0.00040015,             0.00040015,             0.00040015
                    113,                0.62219,                0.44673,                 1.7288,                0.92943,                0.83458,                0.89771,                0.75633,                 1.4582,                0.90577,                 1.7234,             0.00039733,             0.00039733,             0.00039733
                    114,                 0.6047,                0.44066,                 1.7073,                0.87525,                0.81629,                0.87994,                0.74795,                 1.4209,                 1.0407,                 1.6828,              0.0003945,              0.0003945,              0.0003945
                    115,                0.60524,                  0.459,                 1.7194,                0.84196,                0.81538,                0.86836,                0.72711,                  1.488,                 1.1332,                 1.7036,             0.00039167,             0.00039167,             0.00039167
                    116,                 0.6066,                0.45871,                 1.7124,                0.86983,                0.87663,                 0.9129,                0.77239,                 1.3932,                0.93218,                 1.6985,             0.00038884,             0.00038884,             0.00038884
                    117,                0.58215,                0.42748,                 1.7138,                0.91907,                0.86647,                 0.9302,                0.78149,                 1.3937,                0.92154,                  1.681,             0.00038602,             0.00038602,             0.00038602
                    118,                0.59161,                0.43156,                 1.7156,                0.88522,                0.89634,                0.92097,                0.76813,                 1.4278,                0.88926,                 1.6959,             0.00038319,             0.00038319,             0.00038319
                    119,                0.56906,                0.41255,                 1.7111,                0.87713,                0.86564,                0.90442,                0.76111,                  1.411,                0.94211,                 1.7122,             0.00038036,             0.00038036,             0.00038036
                    120,                0.59844,                0.41313,                 1.7145,                0.89103,                0.89483,                0.91594,                 0.7702,                 1.4101,                0.92893,                 1.7042,             0.00037753,             0.00037753,             0.00037753
                    121,                0.60249,                0.43075,                 1.7234,                0.93421,                0.83413,                0.89881,                 0.7583,                 1.3919,                 1.0015,                  1.697,             0.00037471,             0.00037471,             0.00037471
                    122,                0.60262,                0.41502,                  1.708,                0.89053,                0.80511,                0.87795,                 0.7508,                 1.3932,                  1.003,                 1.6959,             0.00037188,             0.00037188,             0.00037188
                    123,                0.63559,                0.43459,                 1.7137,                0.89084,                0.86503,                0.90318,                0.75845,                 1.4009,                0.94967,                 1.6917,             0.00036905,             0.00036905,             0.00036905
                    124,                0.59775,                0.41308,                 1.7108,                0.89508,                0.87119,                0.91904,                0.76968,                 1.4419,                0.99471,                  1.713,             0.00036622,             0.00036622,             0.00036622
                    125,                0.57664,                0.40258,                 1.7225,                0.91003,                0.86037,                0.91036,                0.77447,                 1.4009,                0.94783,                 1.6839,              0.0003634,              0.0003634,              0.0003634
                    126,                0.60723,                0.41019,                 1.7227,                0.91057,                 0.8961,                0.92139,                0.78567,                 1.3938,                0.88845,                 1.6934,             0.00036057,             0.00036057,             0.00036057
                    127,                0.59419,                0.40499,                 1.7136,                0.92871,                0.83175,                0.90034,                0.75903,                 1.4261,                0.98935,                 1.7175,             0.00035774,             0.00035774,             0.00035774
                    128,                0.62222,                0.43713,                 1.7139,                0.87912,                0.84952,                0.89793,                0.75201,                 1.4621,                 1.0377,                 1.7208,             0.00035492,             0.00035492,             0.00035492
                    129,                0.58466,                0.40925,                  1.704,                0.91674,                0.87083,                0.91539,                0.76784,                 1.4252,                0.96659,                 1.7148,             0.00035209,             0.00035209,             0.00035209
                    130,                0.60296,                0.41903,                 1.7188,                0.90327,                0.88587,                0.91982,                0.76968,                 1.4283,                0.95798,                  1.714,             0.00034926,             0.00034926,             0.00034926
                    131,                0.60605,                0.41256,                 1.7084,                0.91936,                0.81099,                0.88276,                0.74543,                 1.4433,                 1.0289,                 1.7225,             0.00034643,             0.00034643,             0.00034643
                    132,                 0.5879,                0.41171,                 1.7138,                0.93077,                0.82367,                0.89749,                0.75062,                 1.4692,                  1.092,                 1.7324,             0.00034361,             0.00034361,             0.00034361
                    133,                0.60237,                0.41221,                 1.7168,                0.88563,                0.89093,                0.91945,                 0.7714,                 1.4214,                0.94587,                 1.7125,             0.00034078,             0.00034078,             0.00034078
                    134,                0.59188,                0.39741,                 1.7229,                0.90104,                0.84195,                0.89556,                0.76469,                 1.4165,                0.98959,                 1.7193,             0.00033795,             0.00033795,             0.00033795
                    135,                0.59775,                0.39767,                 1.7315,                0.89736,                0.85608,                0.90542,                0.75653,                 1.5082,                  1.052,                 1.7418,             0.00033512,             0.00033512,             0.00033512
                    136,                0.61471,                0.43978,                 1.7242,                 0.8927,                0.87387,                0.91185,                0.76724,                 1.4513,                 1.0081,                 1.7594,              0.0003323,              0.0003323,              0.0003323
                    137,                0.56757,                0.40727,                 1.7028,                0.91391,                0.87604,                0.91853,                0.78039,                 1.3746,                0.92778,                 1.7195,             0.00032947,             0.00032947,             0.00032947
                    138,                0.60103,                0.42445,                 1.7258,                0.92769,                0.87875,                0.91899,                0.77474,                 1.3764,                0.88145,                 1.6866,             0.00032664,             0.00032664,             0.00032664
                    139,                0.56141,                0.38697,                  1.701,                 0.8873,                0.89171,                0.91847,                  0.769,                 1.3926,                 0.9596,                 1.6901,             0.00032381,             0.00032381,             0.00032381
                    140,                0.57876,                0.41372,                 1.7013,                0.90167,                0.89465,                0.92932,                0.79162,                 1.3541,                0.85909,                 1.6839,             0.00032099,             0.00032099,             0.00032099
                    141,                0.56733,                0.38599,                  1.712,                0.92184,                0.87767,                0.92471,                0.78473,                 1.3759,                0.89084,                 1.6789,             0.00031816,             0.00031816,             0.00031816
                    142,                0.55824,                0.38195,                 1.6997,                0.92291,                0.85731,                0.91842,                0.77361,                 1.3754,                0.84639,                 1.6794,             0.00031533,             0.00031533,             0.00031533
                    143,                0.58004,                0.39852,                 1.7057,                0.90934,                0.86509,                 0.9133,                0.78042,                 1.3652,                 0.8505,                 1.6775,              0.0003125,              0.0003125,              0.0003125
                    144,                0.55495,                0.37983,                 1.6958,                0.89886,                0.91048,                0.93288,                0.78991,                 1.3723,                0.85899,                 1.6991,             0.00030968,             0.00030968,             0.00030968
                    145,                0.55665,                0.38276,                 1.7138,                0.90852,                0.88884,                0.92027,                0.77855,                 1.3708,                0.92367,                  1.697,             0.00030685,             0.00030685,             0.00030685
                    146,                0.56837,                0.39844,                 1.7218,                0.89263,                0.87149,                0.91073,                0.77047,                 1.3942,                0.99049,                 1.7149,             0.00030402,             0.00030402,             0.00030402
                    147,                 0.5684,                0.40341,                 1.7039,                0.89316,                0.84385,                0.89852,                 0.7627,                 1.3998,                0.99899,                 1.7253,             0.00030119,             0.00030119,             0.00030119
                    148,                 0.5613,                0.39522,                 1.7093,                0.90512,                0.90593,                 0.9363,                 0.7937,                 1.3678,                0.84188,                 1.7311,             0.00029837,             0.00029837,             0.00029837
                    149,                0.53549,                0.37576,                 1.6917,                0.92606,                0.87882,                0.92979,                0.78115,                 1.3893,                0.86699,                 1.6912,             0.00029554,             0.00029554,             0.00029554
                    150,                0.54333,                0.36273,                 1.6937,                0.94027,                 0.8778,                0.93111,                0.79621,                 1.3386,                0.91286,                 1.6921,             0.00029271,             0.00029271,             0.00029271
                    151,                0.54375,                0.37142,                 1.6956,                0.87282,                0.83255,                0.88962,                 0.7588,                  1.369,                 1.0637,                 1.6905,             0.00028988,             0.00028988,             0.00028988
                    152,                0.54914,                0.37464,                 1.6997,                0.90793,                0.91627,                0.93221,                0.78104,                 1.3675,                0.87019,                 1.7196,             0.00028706,             0.00028706,             0.00028706
